Filename,Directory,ID,Class,sam_period,Confidence,SNR (dB),Time through recording,D500X_Time,D500X_Date,Duration (ms)
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,80,Mbra/Mmys,transect sect 3,0.86767,21.029062,0:00:09,11:15:56 PM,10/7/12,2.304
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,81,Mbra/Mmys,transect sect 3,0.999932,25.742905,0:00:09,11:15:56 PM,10/7/12,2.816
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,3,Mdau,transect sect 3,0.830723,23.460919,0:00:00,11:15:56 PM,10/7/12,3.008
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,4,Mdau,transect sect 3,0.851631,26.97583,0:00:00,11:15:56 PM,10/7/12,3.072
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,73,Mdau,transect sect 3,0.604049,21.411507,0:00:09,11:15:56 PM,10/7/12,3.008
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,10,Pip,transect sect 3,0.997259,12.705435,0:00:03,11:15:56 PM,10/7/12,6.208
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,11,Pip,transect sect 3,0.986414,12.525311,0:00:03,11:15:56 PM,10/7/12,5.696
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,12,Pip,transect sect 3,0.994984,12.974393,0:00:03,11:15:56 PM,10/7/12,5.696
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,14,Pip,transect sect 3,0.998729,17.881852,0:00:04,11:15:56 PM,10/7/12,5.12
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,15,Pip,transect sect 3,0.996141,15.508892,0:00:04,11:15:56 PM,10/7/12,5.056
